# Homework 2 - Advanced LP & Network Flow Models
# Adv. Analytics and Metaheuristics
# Daniel Carpenter and Christopher Ferguson
# February 2022
# Problem 4

data;

# Set of Nodes containing all sources of Labor, Plants, and Business Partners
set NODES :=    Specialist Generalist               # Labor
                ScranMult1x UticaMult1x StamMult1x  # Multiplier dumBus 1x no OT
                ScranMultOT UticaMultOT StamMultOT  # Multiplier dumBus 1.5x for OT
                dumPlant                            # Dummy to limit supply before plants
                Scranton Utica Stamford             # Plants
                Goggle Faceblock dumBus             # Business Partners + dumBus for unbalanced supply/demand
                ;

# Set of ARCS from Labor Sources, to Plants, to Business Partners
set ARCS := 
            # No OT used
            (Specialist,  *) ScranMult1x UticaMult1x StamMult1x
            (Generalist,  *) ScranMult1x UticaMult1x StamMult1x
            (ScranMult1x, *) Scranton dumPlant
            (UticaMult1x, *) Utica    dumPlant
            (StamMult1x,  *) Stamford dumPlant

            # If Use OT
            (Specialist, *) ScranMultOT UticaMultOT StamMultOT
            (Generalist, *) ScranMultOT UticaMultOT StamMultOT
            (ScranMultOT,*) Scranton dumPlant
            (UticaMultOT,*) Utica    dumPlant
            (StamMultOT, *) Stamford dumPlant

            # Plants to demanders and dumBus for unbalanced network
            (Scranton,  *) Goggle Faceblock dumBus
            (Utica,     *) Goggle Faceblock dumBus
            (Stamford,  *) Goggle Faceblock dumBus 
            ;

# Number of Products demanded by Business Partner
param b := 
    # Supply				
    Specialist	1200	# 12 units * 100 labor hours		
    Generalist	2000	# 10 units * 200 labor hours

    # Transshippment (Plants or OT Multiplier)				
    ScranMult1x	0  # Not using OT
    UticaMult1x	0			
    StamMult1x	0			
    ScranMultOT	0	# Using OT		
    UticaMultOT	0			
    StamMultOT	0			
    Scranton	0   # Plant Arrival
    Utica	    0			
    Stamford	0			

    # Demand			
    dumPlant    -1360   # (505+465+570 + 3*100) - (1200+2000)
    Goggle	    -1000			
    Faceblock	-600			
    dumBus	    -240    # (-1000-600) - (-1360)
    ;				

# The cost (c), lower (l). and upper (u), from node i to j in IN NODES
param:                          c       l   u :=
    # Cost of Transportation + Labor per Unit of Output (see screenshot)
    # PATH **NOT** USING OT ------------------------------
    [Specialist,  ScranMult1x]	191.67	.	.  # Supply -> Mult
    [Specialist,  UticaMult1x]	187.5	.	.	
    [Specialist,  StamMult1x]	189.58	.	.	
    [Generalist,  ScranMult1x]	200	    .	.	
    [Generalist,  UticaMult1x]	195	    .	.	
    [Generalist,  StamMult1x]	197.5	.	.	
    [ScranMult1x, Scranton]	    1	    .	505	# Mult -> Plant
    [UticaMult1x, Utica]	    1	    .	465	
    [StamMult1x,  Stamford]	    1	    .	570	
    [ScranMult1x, dumPlant]	    0	    .	.	# Mult -> Dummy
    [UticaMult1x, dumPlant]	    0	    .	.	
    [StamMult1x,  dumPlant]	    0	    .	.	

    # PATH USING OT ---------------------------------------
    [Specialist,  ScranMultOT]	191.67	.	.   # Supply -> Mult
    [Specialist,  UticaMultOT]	187.5	.	.	
    [Specialist,  StamMultOT]	189.58	.	.	
    [Generalist,  ScranMultOT]	200	    .	.	
    [Generalist,  UticaMultOT]	195	    .	.	
    [Generalist,  StamMultOT]	197.5	.	.	
    [UticaMultOT, Utica]	    1.5	    .	100	# Mult -> Plant
    [ScranMultOT, Scranton]	    1.5	    .	100	
    [StamMultOT,  Stamford]	    1.5	    .	100	
    [ScranMultOT, dumPlant]	    0	    .	.	# Mult -> Dummy
    [UticaMultOT, dumPlant]	    0	    .	.	
    [StamMultOT,  dumPlant]	    0	    .	.	

    # Plant to Business Partners
    [Scranton,   Goggle]	    98	    .	.	# Plant -> Demanders
    [Scranton,   Faceblock]	    105	    .	.	
    [Scranton,   dumBus]	    0   	.	.	
    [Utica,      Goggle]	    119	    .	.	
    [Utica,      Faceblock]	    123	    .	.	
    [Utica,      dumBus]	    0   	.	.	
    [Stamford,   Goggle]	    139	    .	.	
    [Stamford,   Faceblock]	    135	    .	.	
    [Stamford,   dumBus]	    0   	.	.	
    ;				
